track_id,track_name,artist_name
7HSZigV3SjVlKrCfz2iR28,Teen Idle,MARINA
2nXWKf0GXbFby4posGqEht,Home,Daughtry
3X8gOyVXP93Tslnz9Bxw24,Gronlandic Edit,of Montreal
4K1DB7EedHPuVnhVrnvf2U,How I Could Just Kill a Man,Rage Against The Machine
2XTkpF9T2PKvcLgamGJGx1,Goodbye Angels,Red Hot Chili Peppers
5u6Woby9oKAF8LhhuxykH1,"Girl, You'll Be a Woman Soon",Urge Overkill
1X4Ntw6Lbaa1ACgilCqMpr,Alive - Chris Lord-Alge Mix,P.O.D.
52a6VcF23v5HB7KfDEmBHq,Carried Away,Passion Pit
59IMJ1XHmOXRFE072RQafl,Til I Hear It From You,Gin Blossoms
5a3rLTbh7L7lBj5cflW3sf,Comin’ In Hot,Hollywood Undead
1uQbeHF6znPkD99pDGLvRN,Vivrant Thing - Club Mix,Q-Tip
0CkSF2TAqIu8TJaVwwAOnT,If You Only Knew,Shinedown
7KsZHCfOitA5V9oQYVdltG,Everything Now,Arcade Fire
4Q99wmrzQFtK3oweyLkWij,Oh My Love,The Score
0VIH3yTKCCnijQ4kbnitqc,Memories Faded,TWENTY88
150eNdHgoV9hYBUjsQXSVM,Love Buzz - Remastered,Nirvana
0G3qCSe4KcWFc0EKlXCEo8,Build,Justine Skye
2QcHIZFd5Meeroa1HB1L90,My Own Grave,As I Lay Dying
6FtCEQZesoKRmjf5LBKyko,Sojourner (feat. J. Cole),Rapsody
7slyp653Si99N4yQcJ2E9T,Passive,A Perfect Circle
1hPKSQuvfLlPeIu8xhRyTf,Until The World Goes Cold,Trivium
5n1WeUNWJIjs9ueYD4v0Pt,Killer,Kali Uchis
63wsuMhok6GgcBRd2strGk,3's & 7's,Queens of the Stone Age
6NblUCwJXYkQlQ6LhcmSlQ,Ooh Nah Nah (feat. Masego),SiR
2ugAOltSeiFqKHItLMKFK3,The Negative One,Slipknot
2G1xOn9PhRgi63XWp2ToZx,Crawl,Breaking Benjamin
1F5A4LpF8ylUVtPoMAvNvn,Raspberry,Grouplove
40rjypnguxfhPy4Bbv5SWc,The Way We Move,Langhorne Slim
2jSJm3Gv6GLxduWLenmjKS,Digital Bath,Deftones
7FJ7lHtpbWvPKe3zCoeAWC,Kansas,Gorillaz
7qXTeIDkqZIexgdCXrxIrB,Stomp Me Out,Bryce Fox
2iPTESocncak2Q45oXzKOG,Beat the Devil's Tattoo,Black Rebel Motorcycle Club
0xOeB16JDbBJBJKSdHbElT,Rebellion (Lies),Arcade Fire
05tFLPSXJ1BbqIXy4Jeqfh,End,Frank Ocean
3hgESJrxlX103Q78BrEAfr,New Kings,Sleeping Wolf
6wVViUl2xSRoDK2T7dMZbR,Bizarre Love Triangle,New Order
42UaTVeWaNaME7ttu61ykG,Classic (feat. POWERS),The Knocks
4L2S9GbwEgwfSbHjTCvNQX,Say Hello 2 Heaven,Temple Of The Dog
1nMULe4EavfF8SZHQ3Pag9,Old Age,Masego
09CqF6VVL6G7NwkCj3M2lU,Anita,Smino
